
 num     #instances         #bytes  class name
 337:           558           8928  org.apache.lucene.search.Sort
 338:            93           8928  org.apache.lucene.index.DocumentsWriterPerThread
 339:           371           8904  java.text.ParsePosition
 340:           222           8880  org.apache.tomcat.util.modeler.BaseModelMBean
 341:           553           8848  sun.reflect.DelegatingConstructorAccessorImpl
 342:           137           8768  org.apache.catalina.connector.Response
 343:           274           8768  [Lorg.apache.coyote.http11.OutputFilter;
 344:           137           8768  org.apache.tomcat.util.http.Parameters
 345:           137           8768  org.apache.coyote.http11.InternalInputBuffer
 346:           274           8768  [Lorg.apache.coyote.http11.InputFilter;
 347:           120           8640  org.apache.lucene.index.SegmentCoreReaders
 348:           270           8640  org.apache.solr.update.UpdateLog$LogPtr
 349:           153           8568  org.apache.lucene.store.FSDirectory$FSIndexOutput
 350:           211           8440  org.apache.solr.util.stats.Histogram
 351:           516           8256  org.apache.lucene.codecs.BlockTreeTermsWriter$TermsWriter$FindBlocks
 352:           172           8256  sun.security.x509.X500Name
 353:           257           8224  org.wltea.analyzer.core.QuickSortSet$Cell
 354:           257           8224  java.net.Socket
 355:           341           8184  java.lang.ThreadLocal$ThreadLocalMap
 356:           204           8160  javax.management.MBeanOperationInfo
 357:           254           8128  org.apache.lucene.index.MultiTerms
 358:           507           8112  org.apache.lucene.analysis.util.CharArraySet
 359:           337           8088  java.util.concurrent.CopyOnWriteArrayList
 360:           110           7920  org.apache.solr.schema.DateField$ISO8601CanonicalDateFormat
 361:           328           7872  java.util.regex.Pattern$5
 362:           246           7872  java.security.CodeSource
 363:           140           7840  java.util.ResourceBundle$CacheKey
 364:           244           7808  org.apache.solr.parser.QueryParser$JJCalls
 365:           242           7744  org.apache.solr.analysis.TrieTokenizerFactory
 366:           241           7712  sun.security.x509.AlgorithmId
 367:           137           7672  org.apache.catalina.util.ParameterMap
 368:           137           7672  org.apache.coyote.http11.InternalOutputBuffer
 369:           137           7672  [Lorg.apache.catalina.core.ApplicationFilterConfig;
 370:           137           7672  org.apache.catalina.connector.CoyoteWriter
 371:           137           7672  org.apache.catalina.connector.CoyoteReader
 372:           188           7520  java.util.concurrent.ConcurrentHashMap$KeyIterator
 373:           311           7464  java.security.Provider$ServiceKey
 374:           186           7440  org.apache.lucene.util.IntBlockPool
 375:           132           7392  javax.management.MBeanServerNotification
 376:           154           7392  javax.management.MBeanInfo
 377:           304           7296  org.apache.lucene.search.FieldCacheImpl$CacheKey
 378:           300           7200  org.apache.lucene.document.DocumentStoredFieldVisitor
 379:           299           7176  org.apache.lucene.util.LongsRef
 380:           448           7168  java.util.LinkedHashSet
 381:           221           7072  java.util.Random
 382:           293           7032  java.util.concurrent.locks.ReentrantReadWriteLock
 383:           291           6984  org.apache.lucene.codecs.lucene42.Lucene42DocValuesProducer$3
 384:           122           6832  org.apache.solr.search.LuceneQParser
 385:           122           6832  org.apache.solr.parser.QueryParserTokenManager
 386:           213           6816  java.util.LinkedList$ListItr
 387:           211           6752  org.apache.solr.util.stats.Timer
 388:           421           6736  org.apache.solr.search.SortedIntDocSet
 389:           120           6720  org.apache.lucene.codecs.BlockTreeTermsReader
 390:           140           6720  java.util.ResourceBundle$BundleReference
 391:           120           6720  org.apache.solr.util.ConcurrentLRUCache
 392:           278           6672  java.util.Collections$SetFromMap
 393:           208           6656  org.apache.lucene.search.ConjunctionTermScorer$DocsAndFreqs
 394:            41           6616  [[Ljava.lang.Object;
 395:           137           6576  sun.nio.cs.StreamDecoder
 396:           137           6576  org.apache.tomcat.util.http.mapper.MappingData
 397:           274           6576  org.apache.tomcat.util.http.MimeHeaders
 398:           137           6576  org.apache.coyote.http11.filters.ChunkedInputFilter
 399:           270           6480  java.net.InetAddress$InetAddressHolder
 400:           101           6464  java.nio.DirectByteBuffer
 401:            80           6400  sun.security.x509.X509CertImpl
 402:           159           6360  sun.util.locale.BaseLocale$Key
 403:           264           6336  javax.management.NotificationBroadcasterSupport$SendNotifJob
 404:           198           6336  org.apache.lucene.util.OpenBitSet
 405:           256           6144  java.net.Inet4Address
 406:           128           6144  org.apache.lucene.search.NumericRangeQuery
 407:           190           6080  org.apache.lucene.codecs.MultiLevelSkipListReader$SkipBuffer
 408:           126           6048  sun.nio.cs.UTF_8$Encoder
 409:           172           6032  [Lsun.security.x509.RDN;
 410:           188           6016  org.apache.tomcat.util.modeler.ParameterInfo
 411:           150           6000  org.wltea.analyzer.core.LexemePath
 412:            93           5952  org.apache.lucene.index.TermVectorsConsumer
 413:           245           5880  org.apache.lucene.util.Counter$SerialCounter
 414:           180           5760  javax.management.MBeanParameterInfo
 415:           144           5760  java.util.HashMap$ValueIterator
 416:           124           5736  [Lorg.apache.lucene.index.Fields;
 417:           143           5720  org.apache.lucene.analysis.snowball.SnowballPorterFilterFactory
 418:           119           5712  org.apache.lucene.codecs.lucene42.Lucene42DocValuesProducer
 419:           237           5688  java.util.Collections$UnmodifiableRandomAccessList
 420:           142           5680  org.apache.solr.util.ConcurrentLRUCache$Stats
 421:           176           5632  java.util.TreeMap$ValueIterator
 422:           232           5568  sun.nio.ch.NativeThreadSet
 423:            38           5536  [Lcom.sun.org.apache.xerces.internal.xni.QName;
 424:           138           5520  org.apache.lucene.index.BufferedDeletes
 425:           138           5520  org.apache.catalina.valves.AccessLogValve$AccessDateStruct
 426:           137           5480  org.apache.coyote.http11.filters.IdentityInputFilter
 427:           137           5480  sun.nio.cs.ISO_8859_1$Decoder
 428:           169           5408  org.apache.solr.schema.FieldType$DefaultAnalyzer
 429:            75           5400  org.apache.lucene.index.MultiTermsEnum
 430:           337           5392  org.apache.solr.common.SolrDocument
 431:           166           5312  org.wltea.analyzer.core.Lexeme
 432:            22           5280  org.apache.catalina.core.StandardWrapper
 433:            93           5208  org.apache.lucene.index.StoredFieldsProcessor
 434:            93           5208  org.apache.lucene.index.DocFieldProcessor
 435:           162           5184  org.apache.lucene.search.ConstantScoreQuery$ConstantScorer
 436:           323           5168  java.util.WeakHashMap$KeySet
 437:           161           5152  org.apache.lucene.index.FieldInfos
 438:           159           5088  <compiledICHolderKlass>
 439:           159           5088  sun.util.locale.BaseLocale
 440:           126           5040  sun.misc.FloatingDecimal
 441:            90           5040  org.apache.tomcat.util.modeler.ManagedBean
 442:           105           5040  java.util.concurrent.FutureTask$Sync
 443:           240           5024  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 444:           102           4896  org.apache.lucene.index.ReadersAndLiveDocs
 445:           102           4896  org.apache.lucene.search.BooleanScorer2
 446:           306           4896  org.apache.solr.common.util.SimpleOrderedMap
 447:           202           4848  java.util.regex.Pattern$1
 448:           303           4848  java.util.concurrent.ConcurrentHashMap$KeySet
 449:           151           4832  org.apache.solr.common.util.FastOutputStream
 450:           198           4752  org.apache.solr.search.BitDocSet
 451:            99           4752  org.apache.lucene.analysis.core.KeywordTokenizer
 452:            84           4704  org.apache.lucene.search.NumericRangeQuery$NumericRangeTermsEnum
 453:           196           4704  javax.management.ImmutableDescriptor
 454:           293           4688  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 455:           293           4688  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 456:           293           4688  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 457:           117           4680  org.apache.naming.resources.FileDirContext$FileResource
 458:           116           4640  java.io.ObjectStreamField
 459:             8           4608  <typeArrayKlassKlass>
 460:            96           4608  org.apache.lucene.analysis.CachingTokenFilter
 461:           188           4512  org.apache.lucene.store.MMapDirectory$MMapIndexInput$1
 462:            94           4512  org.apache.lucene.search.CollectionStatistics
 463:           106           4496  [F
 464:           140           4480  java.util.ResourceBundle$LoaderReference
 465:            80           4480  sun.security.x509.X509CertInfo
 466:            80           4480  sun.security.util.MemoryCache$SoftCacheEntry
 467:            93           4464  org.apache.tomcat.util.digester.CallMethodRule
 468:           139           4448  [Ljava.text.SimpleDateFormat;
